sector,subsector,segmento,short_name,ticker,seg_mercado,img_id
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",ALLIAR,AALR,NM             ,423.jpg
Financeiro,Intermediários Financeiros,Bancos,ABC BRASIL  ,ABCB,N2             ,327.jpg
Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,AMBEV S/A,ABEV,,297.jpg
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",ADVANCED-DH,ADHM,,422.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,AES SUL     ,AESL,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,AFLUENTE T  ,AFLT,,445.jpg
Consumo não Cíclico,Agropecuária,Agricultura,BRASILAGRO  ,AGRO,NM             ,280.jpg
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,GRUAIRPORT,AGRU,MB             ,
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,SPTURIS     ,AHEB,,278.jpg
Outros,Outros,Outros,ALEF S/A    ,ALEF,MB             ,
Comunicações,Telecomunicações,Telecomunicações,ALGAR TELEC,ALGT,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,ALPARGATAS  ,ALPA,N1             ,488.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,ALIANSCSONAE,ALSO,NM             ,315.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ALUPAR,ALUP,N2             ,446.jpg
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LOJAS MARISA,AMAR,NM             ,225.jpg
Bens Industriais,Transporte,Exploração de Rodovias,AUTOBAN     ,ANHB,,
Consumo Cíclico,Diversos,Serviços Educacionais,ANIMA,ANIM,NM             ,250.jpg
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,TRUESEC,APCS,,
Financeiro,Previdência e Seguros,Corretoras de Seguros,ALPER S.A.,APER,NM             ,491.jpg
Consumo não Cíclico,Agropecuária,Agricultura,ALIPERTI    ,APTI,,282.jpg
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",AREZZO CO   ,ARZZ,NM             ,221.jpg
Bens Industriais,Transporte,Exploração de Rodovias,ECOPISTAS   ,ASCP,,
Outros,Outros,Outros,ATOMPAR,ATOM,,349.jpg
Bens Industriais,Construção e Engenharia,Construção Pesada,AZEVEDO     ,AZEV,,163.jpg
Bens Industriais,Transporte,Transporte Aéreo,AZUL,AZUL,N2             ,202.jpg
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B3 ,B3SA,NM             ,367.jpg
Consumo Cíclico,Diversos,Serviços Educacionais,BAHEMA      ,BAHI,MA,251.jpg
Saúde,Equipamentos,Equipamentos,BAUMER      ,BALM,,421.jpg
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,EXCELSIOR   ,BAUH,,292.jpg
Financeiro,Intermediários Financeiros,Bancos,AMAZONIA    ,BAZA,,329.jpg
Financeiro,Intermediários Financeiros,Bancos,BRASIL      ,BBAS,NM             ,331.jpg
Financeiro,Intermediários Financeiros,Bancos,BRADESCO    ,BBDC,N1             ,330.jpg
Bens Industriais,Serviços Diversos,Serviços Diversos,BBMLOGISTICA,BBML,MA,554.jpg
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,BR BROKERS  ,BBRK,NM             ,316.jpg
Financeiro,Previdência e Seguros,Seguradoras,BBSEGURIDADE,BBSE,NM             ,357.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,BARDELLA    ,BDLL,,180.jpg
Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,BRADESCO LSG,BDLS,,
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MINERVA     ,BEEF,NM             ,295.jpg
Financeiro,Intermediários Financeiros,Bancos,BANESTES    ,BEES,,326.jpg
Outros,Outros,Outros,BETAPART    ,BETP,MB             ,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,BRAZILIAN FR,BFRE,,363.jpg
Financeiro,Intermediários Financeiros,Bancos,BANESE      ,BGIP,,333.jpg
Financeiro,Intermediários Financeiros,Bancos,BANCO INTER,BIDI,N2             ,325.jpg
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,BIOMM       ,BIOM,MA,412.jpg
Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,BK BRASIL,BKBR,NM             ,256.jpg
Financeiro,Intermediários Financeiros,Bancos,MERC BRASIL ,BMEB,,338.jpg
Financeiro,Intermediários Financeiros,Bancos,BANCO BMG,BMGB,N1             ,553.jpg
Financeiro,Intermediários Financeiros,Bancos,MERC INVEST ,BMIN,,337.jpg
Consumo Cíclico,Viagens e Lazer,Bicicletas,BIC MONARK  ,BMKS,,275.jpg
