Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,2.0125,2.075,2.0125,2.05625,1.844432,70000800.0
2011-05-03,2.0625,2.08625,2.025,2.0375,1.8276130000000002,8417600.0
2011-05-04,2.04,2.06,2.04,2.06,1.847796,9800800.0
2011-05-05,2.05125,2.05125,2.04,2.0475,1.836583,8774400.0
2011-05-06,2.04375,2.0475,2.0,2.0325,1.823129,9668000.0
2011-05-09,2.02625,2.03125,2.005,2.0125,1.805189,166920.0
2011-05-10,,,,,,
2011-05-11,2.03125,2.0625,2.03125,2.05,1.8388259999999998,1560000.0
2011-05-12,2.0275,2.0525,2.025,2.0525,1.8410689999999998,1840000.0
2011-05-13,2.05,2.05,2.03,2.04375,1.83322,1761600.0
2011-05-16,,,,,,
2011-05-17,2.0125,2.01875,2.0025,2.0125,1.805189,1383200.0
2011-05-18,2.00625,2.01625,1.97125,1.975,1.771552,5565600.0
2011-05-19,1.975,1.9975,1.97,1.97875,1.774916,3540800.0
2011-05-20,1.97625,1.99875,1.93875,1.9925,1.787249,2629600.0
2011-05-23,1.97,1.985,1.94375,1.985,1.7805220000000002,2188000.0
2011-05-24,1.99375,2.0,1.93875,1.95875,1.7569759999999999,8384800.0
2011-05-25,1.95625,1.95625,1.89875,1.9,1.704278,4642400.0
2011-05-26,1.8975,1.96875,1.8975,1.96625,1.7637029999999998,2953600.0
2011-05-27,1.94875,1.9875,1.94,1.975,1.771552,4157600.0
2011-05-30,1.95,1.9975,1.95,1.99375,1.78837,1165600.0
2011-05-31,2.0,2.0,1.95625,2.0,1.793977,8995200.0
2011-06-01,1.98375,2.03375,1.9725,2.025,1.816401,3515200.0
2011-06-02,2.0,2.0625,2.0,2.05,1.8388259999999998,3466400.0
2011-06-03,2.025,2.0875,2.025,2.0875,1.8724630000000002,3242400.0
2011-06-06,2.07125,2.1025,2.0575,2.0875,1.8724630000000002,2610400.0
2011-06-07,2.075,2.09625,2.0525,2.08625,1.8713419999999998,4740000.0
2011-06-08,2.08375,2.085,2.05375,2.0725,1.8590080000000002,2618400.0
2011-06-09,2.06375,2.15875,2.0625,2.1375,1.917313,9032000.0
2011-06-10,2.11875,2.14375,2.0775,2.14375,1.9229189999999998,3711200.0
2011-06-13,2.14375,2.22,2.1375,2.1625,1.9397369999999998,6592000.0
2011-06-14,2.175,2.19375,2.08375,2.14,1.919555,4934400.0
2011-06-15,2.1375,2.1375,2.09,2.11125,1.893766,3844800.0
2011-06-16,2.0625,2.10875,1.99875,2.1,1.883676,4799200.0
2011-06-17,2.0875,2.0925,2.00625,2.0625,1.850039,1897600.0
2011-06-20,2.04125,2.05,2.00375,2.025,1.816401,1918400.0
2011-06-21,2.0125,2.085,2.01125,2.075,1.8612509999999998,1490400.0
2011-06-22,2.045,2.085,2.03,2.03125,1.822008,2606400.0
2011-06-24,2.0475,2.07875,2.01375,2.025,1.816401,1504000.0
2011-06-27,2.05875,2.05875,1.9775,2.0,1.793977,2351200.0
2011-06-28,2.00125,2.03,1.99125,2.03,1.820886,2516800.0
2011-06-29,2.025,2.0525,2.01,2.0525,1.8410689999999998,2362400.0
2011-06-30,2.0325,2.04625,2.0,2.03125,1.822008,4256800.0
2011-07-01,2.03625,2.0375,1.9875,2.025,1.816401,4833600.0
2011-07-04,2.0175,2.05,2.0025,2.05,1.8388259999999998,2015200.0
2011-07-05,2.0625,2.10875,2.05625,2.09625,1.880312,10213600.0
2011-07-06,2.095,2.0975,2.075,2.0875,1.8724630000000002,3848000.0
2011-07-07,2.0925,2.1125,2.05,2.05,1.8388259999999998,2742400.0
2011-07-08,2.04875,2.05,2.00125,2.0375,1.8276130000000002,4269600.0
2011-07-11,2.0125,2.035,1.93875,1.94375,1.7435209999999999,4514400.0
2011-07-12,1.945,2.0,1.90625,1.99375,1.78837,3434400.0
2011-07-13,1.99625,1.9975,1.91875,1.96875,1.765946,3833600.0
2011-07-14,1.94375,1.9625,1.875,1.875,1.6818529999999998,3104800.0
2011-07-15,1.88875,1.895,1.7925,1.8125,1.625791,3096000.0
2011-07-18,1.82125,1.8225,1.73125,1.73375,1.5551540000000001,3294400.0
2011-07-19,1.74875,1.86,1.73625,1.85,1.659428,4928000.0
2011-07-20,1.86125,1.87875,1.78875,1.78875,1.604488,2344000.0
2011-07-21,1.81125,1.81875,1.76125,1.7925,1.607852,2219200.0
2011-07-22,1.795,1.8625,1.78875,1.8625,1.670641,3148800.0
2011-07-25,1.79375,1.9125,1.79375,1.81625,1.629155,27376.0
2011-07-26,1.84375,1.93,1.825,1.93,1.7311869999999998,3090400.0
2011-07-27,1.9125,1.9125,1.82,1.8675,1.675126,2778400.0
2011-07-28,1.8725,1.875,1.76875,1.76875,1.5865479999999998,5564800.0
2011-07-29,1.78125,1.78125,1.705,1.71875,1.541699,15672.0
2011-08-01,1.75,1.78125,1.685,1.74875,1.568608,2098400.0
2011-08-02,1.74875,1.7675,1.7175,1.7475,1.567487,2347200.0
2011-08-03,1.73125,1.755,1.585,1.68125,1.508062,4224000.0
2011-08-04,1.625,1.625,1.52875,1.5375,1.3791200000000001,3557600.0
2011-08-05,1.5,1.56875,1.38875,1.48,1.3275430000000001,5480000.0
2011-08-08,1.325,1.415,1.325,1.375,1.233359,3220000.0
2011-08-09,1.37875,1.42875,1.30375,1.4,1.255784,7212000.0
2011-08-10,1.36875,1.40625,1.33625,1.40625,1.26139,6815200.0
2011-08-11,1.405,1.56125,1.38875,1.56125,1.400423,4020800.0
2011-08-12,1.56,1.655,1.51125,1.64875,1.478909,3827200.0
2011-08-15,1.61375,1.68625,1.61375,1.6725,1.500213,1964800.0
2011-08-16,1.63125,1.6625,1.56625,1.6425,1.473303,2102400.0
2011-08-17,1.6425,1.6725,1.62625,1.6525,1.482273,2388800.0
2011-08-18,1.62375,1.65875,1.5075,1.65875,1.4878799999999999,2326400.0
2011-08-19,1.61625,1.65125,1.58625,1.605,1.439666,4208000.0
2011-08-22,1.6075,1.6425,1.57125,1.5975,1.432939,1883200.0
2011-08-23,1.58875,1.6075,1.57125,1.59,1.4262110000000001,2248800.0
2011-08-24,1.5975,1.5975,1.54125,1.5625,1.4015440000000001,2359200.0
2011-08-25,1.58375,1.62125,1.50875,1.5375,1.3791200000000001,1754400.0
2011-08-26,1.5125,1.5425,1.475,1.4875,1.33427,3184800.0
2011-08-29,1.495,1.52125,1.4875,1.51875,1.362301,5568000.0
2011-08-30,1.50125,1.5625,1.5,1.54375,1.3847260000000001,4082400.0
2011-08-31,1.55625,1.6125,1.55625,1.60625,1.440788,7825600.0
2011-09-01,1.71875,1.75,1.66375,1.74625,1.566366,11795200.0
2011-09-02,1.72625,1.79875,1.675,1.775,1.592154,8413600.0
2011-09-05,1.775,1.775,1.7,1.7675,1.5854270000000001,4331200.0
2011-09-06,1.73375,1.83625,1.70375,1.83625,1.647095,4868800.0
2011-09-08,1.8275,1.8975,1.7925,1.82375,1.635882,5309600.0
2011-09-09,1.82375,1.83,1.72125,1.8,1.614579,3350400.0
2011-09-12,1.75,1.81875,1.73375,1.81875,1.631398,3667200.0
2011-09-13,1.8225,1.8575,1.76375,1.78125,1.597761,3203200.0
2011-09-14,1.81,1.81625,1.7025,1.75,1.5697299999999998,6747200.0
2011-09-15,1.78125,1.80625,1.71875,1.74875,1.568608,3014400.0
2011-09-16,1.73875,1.785,1.7125,1.725,1.547305,7552000.0
2011-09-19,1.7125,1.74625,1.69875,1.72875,1.550669,2564800.0
